,mark,model,description,fuel,km,year,gearbox,price,power,isautoscout,isofix,led,cruise_control,bluetooth,auto_clim,rear_cam,rear_rad
0,CITROEN,C3,PureTech 82ch Shine S&S E6.d,Essence,17860.0,2019,Manuelle,12799.0,82.0,0,1,0,1,0,1,0,1
1,RENAULT,Zoe,Zen charge normale R110 Achat Intégral - 20,Electrique,50065.0,2020,Automatique,12799.0,141.74541864139022,0,1,1,1,1,1,0,0
2,PEUGEOT,3008,HYBRID4 300ch GT Pack e-EAT8,Hybride,14456.0,2021,Automatique,12799.0,300.0,0,0,1,1,1,1,1,1
3,PEUGEOT,2008,1.2 PureTech 130ch S&S Style EAT8,Essence,31658.0,2022,Automatique,12799.0,130.0,0,1,1,1,1,1,0,1
4,DACIA,Sandero,1.0 ECO-G 100ch Stepway Expression +,Gpl,13344.0,2023,Manuelle,12799.0,100.0,0,0,1,1,1,1,1,1
5,DACIA,Duster,1.5 Blue dCi 115ch Prestige 4x2 - 20,Diesel,29813.0,2020,Manuelle,12799.0,115.0,0,1,0,1,1,1,1,1
6,CITROEN,C4,BlueHDi 130ch S&S Feel Pack EAT8 120g,Diesel,69947.0,2021,Automatique,12799.0,130.0,0,0,0,1,1,1,1,1
7,PEUGEOT,3008,1.5 BlueHDi 130ch S&S Allure Business EAT8,Diesel,161205.0,2020,Automatique,12799.0,130.0,0,0,1,1,1,1,0,1
8,PEUGEOT,208,1.2 PureTech 100ch S&S Active Pack 118g,Essence,14031.0,2022,Manuelle,12799.0,100.0,0,1,0,1,1,0,0,1
9,PEUGEOT,308,1.2 PureTech 130ch S&S GT EAT8,Essence,49025.0,2021,Automatique,12799.0,130.0,0,1,1,0,1,1,1,1
10,RENAULT,Clio,1.0 TCe 90ch Intens -21,Essence,34134.0,2021,Manuelle,12799.0,90.0,0,1,1,1,1,1,0,1
11,PEUGEOT,3008,1.2 PureTech 130ch E6.c Allure S&S EAT8,Essence,68813.0,2019,Automatique,12799.0,130.0,0,1,0,1,1,1,0,1
12,RENAULT,Kadjar,1.5 Blue dCi 115ch Intens EDC,Diesel,56792.0,2020,Automatique,12799.0,115.0,0,0,1,1,1,1,1,1
13,CITROEN,C3,1.2 PureTech 83ch S&S Shine BVM,Essence,15267.0,2023,Manuelle,12799.0,83.0,0,0,0,1,1,1,0,1
14,RENAULT,Captur,1.6 E-Tech Plug-in 160ch Initiale Paris,Hybride R,24655.0,2021,Automatique,12799.0,160.0,0,0,0,1,1,1,1,1
15,PEUGEOT,208,1.2 PureTech 75ch S&S Like,Essence,19403.0,2021,Manuelle,12799.0,75.0,0,1,0,1,1,0,0,0
16,RENAULT,Megane,1.5 Blue dCi 115ch Evolution EDC -23,Diesel,11650.0,2023,Automatique,12799.0,115.0,0,1,1,1,1,1,0,1
17,RENAULT,Zoe,Life charge normale R110 Achat Intégral - 20,Electrique,38550.0,2020,Automatique,12799.0,141.74541864139022,0,1,1,1,1,0,0,0
18,RENAULT,Captur,1.0 TCe 100ch Evolution GPL,Gpl,18242.0,2023,Manuelle,12799.0,100.0,0,1,1,1,1,0,0,1
19,PEUGEOT,2008,1.2 PureTech 100ch S&S Allure,Essence,34020.0,2021,Manuelle,12799.0,100.0,0,1,1,1,1,1,0,1
20,PEUGEOT,208,e-208 136ch Active,Electrique,13272.0,2021,Automatique,12799.0,136.0,0,1,0,1,1,1,0,0
21,MINI,Mini,Cooper S 178ch Premium,Essence,26549.0,2023,Automatique,12799.0,178.0,0,0,1,1,1,1,1,1
22,PEUGEOT,208,1.2 PureTech 100ch S&S Allure EAT8,Essence,9936.0,2022,Automatique,12799.0,100.0,0,1,1,1,1,1,0,1
23,PEUGEOT,3008,1.5 BlueHDi 130ch S&S GT EAT8,Diesel,15462.0,2023,Automatique,12799.0,130.0,0,0,1,1,1,1,1,1
24,DACIA,Duster,1.5 Blue dCi 115ch Extreme 4x2,Diesel,29220.0,2022,Manuelle,12799.0,115.0,0,1,0,1,1,1,1,1
25,PEUGEOT,208,e-208 136ch Active,Electrique,26655.0,2021,Automatique,12799.0,136.0,0,1,0,1,1,1,0,0
26,RENAULT,Megane,E-Tech Electric EV40 130ch Equilibre standard charge,Electrique,11000.0,2022,Automatique,12799.0,130.0,0,1,1,1,1,0,1,1
27,DACIA,Sandero,1.0 TCe 90ch Stepway Expression,Essence,11497.0,2023,Manuelle,12799.0,90.0,0,1,1,1,1,0,0,1
28,PEUGEOT,308,1.2 PureTech 130ch S&S Allure EAT8 7cv,Essence,23145.0,2021,Automatique,12799.0,130.0,0,1,0,1,1,1,0,1
29,DACIA,Duster,1.5 Blue dCi 115ch Prestige 4x2,Diesel,81305.0,2019,Manuelle,12799.0,115.0,0,1,0,1,1,1,1,1
30,PEUGEOT,308,1.5 BlueHDi 130ch S&S Active Pack EAT8,Diesel,41411.0,2022,Automatique,24299.0,130.0,0,1,1,1,0,1,0,1
31,RENAULT,Clio,1.0 TCe 90ch Techno,Essence,17663.0,2023,Manuelle,24299.0,90.0,0,0,1,1,1,1,1,1
32,PEUGEOT,208,1.2 PureTech 100ch S&S Allure EAT8,Essence,14920.0,2023,Automatique,24299.0,100.0,0,0,1,1,1,1,0,1
33,MINI,Mini,Cooper S 178ch Edition Camden BVA7,Essence,33796.0,2021,Automatique,24299.0,178.0,0,0,1,1,1,1,0,1
34,MINI,Mini,One 102ch Edition Greenwich BVA7,Essence,40367.0,2020,Automatique,24299.0,102.0,0,0,1,1,1,1,0,1
35,PEUGEOT,208,1.2 PureTech 100ch S&S Allure 118g,Essence,11103.0,2022,Manuelle,24299.0,100.0,0,1,1,1,1,1,0,1
36,RENAULT,Arkana,1.3 TCe mild hybrid 160ch RS Line EDC -22,Essence M,6566.0,2023,Automatique,24299.0,160.0,0,0,0,1,1,1,1,1
37,PEUGEOT,308,1.2 PureTech 130ch S&S GT EAT8,Essence,29902.0,2020,Automatique,24299.0,130.0,0,1,1,0,1,1,1,1
38,PEUGEOT,2008,1.2 PureTech 130ch S&S Allure Pack,Essence,11800.0,2023,Manuelle,24299.0,130.0,0,1,1,1,1,1,0,1
39,PEUGEOT,3008,HYBRID 225ch Allure Pack e-EAT8,Hybride,33205.0,2021,Automatique,24299.0,225.0,0,0,1,1,1,1,1,1
40,RENAULT,Twingo,1.0 SCe 65ch Life - 20,Essence,52427.0,2020,Manuelle,24299.0,65.0,0,1,0,0,0,0,0,0
41,RENAULT,Clio,1.6 E-Tech hybride 140ch Business -21N,Hybride,31109.0,2021,Automatique,24299.0,140.0,0,1,1,1,1,0,0,1
42,RENAULT,Captur,1.0 TCe 90ch Intens -21,Essence,38779.0,2021,Manuelle,24299.0,90.0,0,1,1,1,1,1,0,1
43,DACIA,Sandero,1.0 ECO-G 100ch Stepway Essentiel,Gpl,33803.0,2021,Manuelle,24299.0,100.0,0,1,1,1,1,0,0,0
44,NISSAN,Qashqai,1.3 Mild Hybrid 158ch Tekna Xtronic,Essence M,42923.0,2021,Automatique,24299.0,158.0,0,0,0,1,1,1,1,1
45,RENAULT,Captur,1.6 E-Tech hybride 145ch Intens -21,Hybride,37774.0,2022,Automatique,24299.0,145.0,0,1,1,1,1,1,0,1
46,DACIA,Duster,1.0 ECO-G 100ch Prestige 4x2 - E6U,Gpl,44304.0,2021,Manuelle,24299.0,100.0,0,1,0,1,1,1,1,1
47,RENAULT,Clio,1.3 TCe 140ch RS Line,Essence,5645.0,2023,Manuelle,24299.0,140.0,0,0,1,1,1,1,1,1
48,NISSAN,Qashqai,1.5 dCi 115ch Tekna 2019 Euro6-EVAP,Diesel,44853.0,2021,Manuelle,24299.0,115.0,0,0,0,1,1,1,1,1
49,RENAULT,Clio,1.0 TCe 90ch Techno,Essence,12517.0,2023,Manuelle,24299.0,90.0,0,0,1,1,1,1,1,1
50,PEUGEOT,3008,1.2 PureTech 130ch GT Line S&S EAT8 6cv,Essence,56510.0,2019,Automatique,24299.0,130.0,0,0,1,1,1,1,0,1
51,CITROEN,C5 Aircross,Hybrid rechargeable 225ch C-Series ë-EAT8,Hybride R,28631.0,2022,Automatique,24299.0,225.0,0,0,1,1,1,1,1,1
52,CITROEN,C4,Moteur électrique 136ch (100 kW) Feel Pack Automatique,Electrique,29252.0,2020,Automatique,24299.0,136.0,0,0,0,1,1,1,1,1
53,RENAULT,Captur,1.3 TCe mild hybrid 160ch RS Line EDC,Essence M,7826.0,2023,Automatique,24299.0,160.0,0,0,1,1,1,1,1,1
54,RENAULT,Clio,1.0 TCe 100ch Intens,Essence,37270.0,2020,Manuelle,24299.0,100.0,0,1,1,1,1,1,0,1
55,RENAULT,Captur,1.3 TCe mild hybrid 140ch Techno Fast Track,Essence M,4760.0,2023,Manuelle,24299.0,140.0,0,0,1,1,1,1,1,1
56,CITROEN,C3,1.2 PureTech 83ch S&S Shine,Essence,37700.0,2022,Manuelle,24299.0,83.0,0,0,0,1,1,1,0,1
57,RENAULT,Zoe,Business charge normale R90 MY19,Electrique,14000.0,2019,Automatique,24299.0,141.74541864139022,0,1,0,1,1,1,0,0
58,PEUGEOT,208,e-208 136ch Active,Electrique,14197.0,2021,Automatique,24299.0,136.0,0,1,0,1,1,1,0,0
59,CITROEN,C3,1.2 PureTech 83ch S&S Shine,Essence,15043.0,2023,Manuelle,24299.0,83.0,0,0,0,1,1,1,0,1
60,RENAULT,Zoe,E-Tech Life charge normale R110 Achat Intégral - 21,Electrique,11433.0,2021,Automatique,17499.0,141.74541864139022,0,1,1,1,0,0,0,0
61,PEUGEOT,3008,1.2 PureTech 130ch S&S GT EAT8,Essence,18252.0,2023,Automatique,17499.0,130.0,0,0,1,1,1,1,1,1
62,RENAULT,Clio,1.3 TCe 140ch Techno,Essence,4635.0,2023,Manuelle,17499.0,140.0,0,0,1,1,1,1,1,1
63,RENAULT,Captur,1.0 TCe 90ch Techno,Essence,7730.0,2023,Manuelle,17499.0,90.0,0,0,1,1,1,1,1,1
64,PEUGEOT,2008,1.2 PureTech 100ch S&S Allure 5cv,Essence,25362.0,2021,Manuelle,17499.0,100.0,0,1,1,1,1,1,0,0
65,RENAULT,Captur,1.3 TCe 130ch FAP Intens EDC,Essence,54657.0,2020,Automatique,17499.0,130.0,0,1,1,1,1,1,0,1
66,DACIA,Sandero,1.0 ECO-G 100ch Stepway Confort,Gpl,58476.0,2021,Manuelle,17499.0,100.0,0,1,1,1,1,1,0,1
67,RENAULT,Clio,1.0 TCe 90ch Techno,Essence,5412.0,2023,Manuelle,17499.0,90.0,0,0,1,1,1,1,1,1
68,RENAULT,Zoe,E-Tech Life charge normale R110 Achat Intégral - 21,Electrique,14925.0,2021,Automatique,17499.0,141.74541864139022,0,1,1,1,0,0,0,0
69,PEUGEOT,208,e-208 136ch Allure,Electrique,15990.0,2021,Automatique,17499.0,136.0,0,0,1,1,1,1,0,1
70,PEUGEOT,208,1.2 PureTech 100ch S&S Active Pack,Essence,18980.0,2022,Manuelle,17499.0,100.0,0,1,0,1,1,0,0,1
71,PEUGEOT,208,e-208 136ch Active Business,Electrique,18176.0,2021,Automatique,17499.0,136.0,0,1,0,1,1,1,0,1
72,PEUGEOT,308,1.2 PureTech 130ch S&S GT EAT8,Essence,8552.0,2023,Automatique,17499.0,130.0,0,1,1,1,0,1,1,1
73,MINI,Mini,Cooper 136ch Edition Greenwich,Essence,26365.0,2020,Manuelle,17499.0,136.0,0,0,1,1,1,1,0,1
74,DACIA,Sandero,1.0 SCe 75ch City+,Essence,46129.0,2020,Manuelle,17499.0,75.0,0,1,0,0,1,0,0,0
75,CITROEN,C3,PureTech 110ch Feel S&S E6.d-TEMP,Essence,62000.0,2018,Manuelle,17499.0,110.0,0,1,0,1,0,0,0,0
76,DACIA,Duster,1.5 Blue dCi 115ch Prestige 4x2,Diesel,76026.0,2019,Manuelle,17499.0,115.0,0,1,0,1,1,1,1,1
77,PEUGEOT,2008,1.5 BlueHDi 130ch S&S GT EAT8,Diesel,16358.0,2023,Automatique,17499.0,130.0,0,0,1,1,1,1,1,1
